constraint,layer,scheme,corpus,n_rollouts_used,n_rollouts,n_rollouts_dropped,n_defined,auroc_raw,auroc,sign,null_global_mean,null_global_p95,p_global,null_task_mean,null_task_p95,p_task,degenerate_flag
xl_adj,2,B,success_ever,300,300,0,46800,0.50531,0.50531,+,0.519455,0.549376,0.808192,0.531919,0.563559,0.918082,False
xl_adj,2,rollout_max,success_ever,300,300,0,300,0.433612,0.566388,-,0.526413,0.564229,0.042957,0.525563,0.56335,0.042957,False
xl_adj,2,rollout_mean,success_ever,300,300,0,300,0.493619,0.506381,-,0.526082,0.56707,0.82018,0.538807,0.581523,0.916084,False
xl_adj,3,A,success_ever,300,300,0,156000,0.457807,0.542193,-,0.511637,0.528471,0.007992,0.514452,0.532657,0.006993,False
xl_adj,3,B,success_ever,300,300,0,46800,0.516617,0.516617,+,0.520457,0.552202,0.498501,0.543571,0.578283,0.907093,False
xl_adj,3,rollout_max,success_ever,300,300,0,300,0.450719,0.549281,-,0.526395,0.564106,0.134865,0.525775,0.565537,0.123876,False
xl_adj,3,rollout_mean,success_ever,300,300,0,300,0.503157,0.503157,+,0.526353,0.569137,0.909091,0.546262,0.590531,0.985015,False
xl_adj,4,A,success_ever,300,300,0,156000,0.421642,0.578358,-,0.511886,0.529515,0.000999,0.516516,0.534562,0.000999,False
xl_adj,4,B,success_ever,300,300,0,46800,0.425693,0.574307,-,0.520414,0.549804,0.003996,0.517297,0.542149,0.000999,False
xl_adj,4,rollout_max,success_ever,300,300,0,300,0.39425,0.60575,-,0.526327,0.565286,0.002997,0.523947,0.560167,0.000999,False
xl_adj,4,rollout_mean,success_ever,300,300,0,300,0.404236,0.595764,-,0.526216,0.564272,0.005994,0.522559,0.555031,0.000999,False
xl_adj,5,A,success_ever,300,300,0,156000,0.488706,0.511294,-,0.515178,0.536201,0.571429,0.514026,0.532745,0.535465,False
xl_adj,5,B,success_ever,300,300,0,46800,0.50124,0.50124,+,0.524062,0.557709,0.957043,0.523283,0.554128,0.972028,False
xl_adj,5,rollout_max,success_ever,300,300,0,300,0.431329,0.568671,-,0.527458,0.563495,0.038961,0.533365,0.574941,0.081918,False
xl_adj,5,rollout_mean,success_ever,300,300,0,300,0.502217,0.502217,+,0.52681,0.564563,0.942058,0.525395,0.560056,0.949051,False
xl_adj,6,A,success_ever,300,300,0,156000,0.518166,0.518166,+,0.515933,0.539841,0.373626,0.514608,0.5354,0.335664,False
xl_adj,6,B,success_ever,300,300,0,46800,0.54189,0.54189,+,0.524809,0.559844,0.178821,0.520869,0.549999,0.105894,False
xl_adj,6,rollout_max,success_ever,300,300,0,300,0.449331,0.550669,-,0.527644,0.566994,0.147852,0.528023,0.565899,0.155844,False
xl_adj,6,rollout_mean,success_ever,300,300,0,300,0.53737,0.53737,+,0.52788,0.567223,0.292707,0.523858,0.556914,0.192807,False
xl_adj,7,A,success_ever,300,300,0,156000,0.450053,0.549947,-,0.516897,0.539809,0.020979,0.518661,0.541006,0.010989,False
xl_adj,7,B,success_ever,300,300,0,46800,0.477451,0.522549,-,0.525003,0.560635,0.476523,0.524161,0.555235,0.486513,False
xl_adj,7,rollout_max,success_ever,300,300,0,300,0.424388,0.575612,-,0.526838,0.563434,0.018981,0.527704,0.564247,0.023976,False
xl_adj,7,rollout_mean,success_ever,300,300,0,300,0.470601,0.529399,-,0.527667,0.564825,0.406593,0.525461,0.558647,0.361638,False
xl_adj,8,A,success_ever,300,300,0,156000,0.468934,0.531066,-,0.513431,0.532461,0.065934,0.510736,0.526518,0.01998,False
xl_adj,8,B,success_ever,300,300,0,46800,0.515196,0.515196,+,0.52325,0.556412,0.592408,0.518078,0.545964,0.483516,False
xl_adj,8,rollout_max,success_ever,300,300,0,300,0.436075,0.563925,-,0.526553,0.563029,0.045954,0.522198,0.555974,0.027972,False
xl_adj,8,rollout_mean,success_ever,300,300,0,300,0.510412,0.510412,+,0.526774,0.565449,0.749251,0.521455,0.555457,0.698302,False
xl_adj,9,A,success_ever,300,300,0,156000,0.506664,0.506664,+,0.517397,0.541594,0.746254,0.513891,0.530132,0.766234,False
xl_adj,9,B,success_ever,300,300,0,46800,0.533593,0.533593,+,0.524906,0.560483,0.277722,0.516838,0.54171,0.116883,False
xl_adj,9,rollout_max,success_ever,300,300,0,300,0.477923,0.522077,-,0.52704,0.567008,0.519481,0.520569,0.550044,0.394605,False
xl_adj,9,rollout_mean,success_ever,300,300,0,300,0.537325,0.537325,+,0.527305,0.567509,0.26973,0.517815,0.545126,0.104895,False
xl_adj,10,A,success_ever,300,300,0,156000,0.543939,0.543939,+,0.515464,0.536917,0.021978,0.553003,0.572754,0.774226,False
xl_adj,10,B,success_ever,300,300,0,46800,0.585033,0.585033,+,0.525106,0.558587,0.002997,0.556453,0.59184,0.088911,False
xl_adj,10,rollout_max,success_ever,300,300,0,300,0.512919,0.512919,+,0.528137,0.567254,0.735265,0.550822,0.593807,0.936064,False
xl_adj,10,rollout_mean,success_ever,300,300,0,300,0.59957,0.59957,+,0.528762,0.566658,0.002997,0.56337,0.605544,0.071928,False
xl_adj,11,A,success_ever,300,300,0,156000,0.525711,0.525711,+,0.515943,0.538748,0.210789,0.535759,0.556351,0.792208,False
xl_adj,11,B,success_ever,300,300,0,46800,0.581903,0.581903,+,0.524835,0.559756,0.003996,0.548506,0.582581,0.056943,False
xl_adj,11,rollout_max,success_ever,300,300,0,300,0.514218,0.514218,+,0.526571,0.563215,0.663337,0.528972,0.566938,0.735265,False
xl_adj,11,rollout_mean,success_ever,300,300,0,300,0.595361,0.595361,+,0.527795,0.567377,0.004995,0.55512,0.594465,0.044955,False
xl_adj,12,A,success_ever,300,300,0,156000,0.596418,0.596418,+,0.517344,0.542368,0.001998,0.565422,0.588978,0.013986,False
xl_adj,12,B,success_ever,300,300,0,46800,0.614205,0.614205,+,0.52342,0.557881,0.001998,0.552655,0.591881,0.002997,False
xl_adj,12,rollout_max,success_ever,300,300,0,300,0.577583,0.577583,+,0.526654,0.562814,0.018981,0.551887,0.595811,0.15984,False
